Event	ID	Name			Wwise Object Path	Notes
	448719855	Destruction_Crystal_Destroy			\Destruction\RegionSpecific\Destruction_Crystal_Destroy	
	1331382810	Ambient_Region_Cave			\Ambient\SoundBankSpecific\Ambient_Region_Cave	
	2644063196	Ambient_WaterDrop			\Ambient\SoundBankSpecific\Ambient_WaterDrop	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3917897988	Distance_to_Player			\Generic\Distance_to_Player	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9581397	Player_Footstep_dirt_walk_01	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_walk_01_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_walk\Player_Footstep_dirt_walk_01		47188
	34287000	Player_Footstep_grass_run_04	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_grass_run_04_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Woodlands\Player_Footstep_Woodlands_run\Player_Footstep_grass_run_04		26088
	53207299	Player_Footstep_grass_run_02	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_grass_run_02_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Woodlands\Player_Footstep_Woodlands_run\Player_Footstep_grass_run_02		25424
	112435967	Player_Footstep_water_walk_06	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_water_walk_06_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_walk\Player_Footstep_water_walk_06		47000
	117108038	Player_Footstep_water_walk_01	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_water_walk_01_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_walk\Player_Footstep_water_walk_01		47188
	130892503	Player_Footstep_water_run_02	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_water_run_02_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_run\Player_Footstep_water_run_02		25424
	166328661	Player_Footstep_water_run_05	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_water_run_05_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_run\Player_Footstep_water_run_05		23238
	177438976	Player_Footstep_stone_walk_03	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_stone_walk_03_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_walk\Player_Footstep_stone_walk_03		48038
	229113548	Player_Footstep_water_run_03	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_water_run_03_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_run\Player_Footstep_water_run_03		26464
	288556157	Player_Footstep_water_run_01	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_water_run_01_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Water\Player_Footstep_water_run\Player_Footstep_water_run_01		26724
	292435902	Player_Footstep_stone_walk_06	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_stone_walk_06_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_walk\Player_Footstep_stone_walk_06		47000
	292620961	Player_Footstep_grass_walk_01	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_grass_walk_01_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Woodlands\Player_Footstep_Woodlands_walk\Player_Footstep_grass_walk_01		47188
	293050403	Player_Footstep_grass_run_01	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_grass_run_01_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Woodlands\Player_Footstep_Woodlands_run\Player_Footstep_grass_run_01		26724
	339750059	Player_Footstep_dirt_run_01	D:\work\TheKingOfTerrors\SoundWwiseProj\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_run_01_04DCADD1.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_run\Player_Footstep_dirt_run_01		26724
